Date,Close/Last,Volume,Open,High,Low
10/04/2023,$127.00,44203870,$126.06,$127.36,$125.68
10/03/2023,$124.72,51564990,$128.06,$128.52,$124.2544
10/02/2023,$129.46,48029740,$127.28,$130.47,$126.54
09/29/2023,$127.12,62411730,$128.20,$129.15,$126.32
09/28/2023,$125.98,54554970,$124.04,$126.5801,$123.04
09/27/2023,$125.98,66553450,$125.76,$127.48,$124.13
09/26/2023,$125.98,73048210,$130.12,$130.39,$125.28
09/25/2023,$131.27,46017830,$129.36,$131.78,$128.77
09/22/2023,$129.12,59904350,$131.11,$132.03,$128.52
09/21/2023,$129.33,70343340,$131.94,$132.24,$129.31
09/20/2023,$135.29,46263720,$138.55,$139.37,$135.20
09/19/2023,$137.63,61482470,$138.70,$138.84,$135.56
09/18/2023,$139.98,42823480,$140.48,$141.75,$139.22
09/15/2023,$140.39,102909300,$142.69,$143.57,$140.09
09/14/2023,$144.72,64033610,$145.08,$145.86,$142.95
09/13/2023,$144.85,60465180,$140.95,$144.98,$140.865
09/12/2023,$141.23,42668450,$142.32,$143.00,$140.61
09/11/2023,$143.10,56764530,$138.75,$143.62,$138.64
09/08/2023,$138.23,38365930,$136.86,$138.8519,$136.75
09/07/2023,$137.85,48498910,$133.90,$138.03,$133.16
09/06/2023,$135.36,41785510,$136.32,$137.45,$134.61
09/05/2023,$137.27,40636740,$137.73,$137.80,$135.82
09/01/2023,$138.12,40991540,$139.455,$139.96,$136.875
08/31/2023,$138.01,58781310,$135.06,$138.7885,$135.00
08/30/2023,$135.07,36137020,$134.93,$135.68,$133.92
08/29/2023,$134.91,38646090,$133.38,$135.14,$133.25
08/28/2023,$133.14,34108410,$133.78,$133.95,$131.85
08/25/2023,$133.26,44147450,$132.47,$133.87,$130.58
08/24/2023,$131.84,43646250,$136.40,$136.775,$131.83
08/23/2023,$135.52,42801040,$134.50,$135.95,$133.22
08/22/2023,$134.25,32935100,$135.08,$135.65,$133.73
08/21/2023,$134.68,41442480,$133.74,$135.185,$132.71
08/18/2023,$133.22,48497700,$131.62,$134.065,$131.15
08/17/2023,$133.98,48354090,$135.46,$136.085,$133.53
08/16/2023,$135.07,41675900,$137.19,$137.27,$135.01
08/15/2023,$137.67,42781520,$140.05,$141.2778,$137.23
08/14/2023,$140.57,47148700,$138.30,$140.59,$137.75
08/11/2023,$138.41,42905830,$137.40,$139.33,$137.00
08/10/2023,$138.56,58928400,$139.075,$140.41,$137.49
08/09/2023,$137.85,50017350,$139.97,$140.32,$137.10
08/08/2023,$139.94,51710500,$140.62,$140.84,$138.42
08/07/2023,$142.22,71213110,$140.99,$142.54,$138.95
08/04/2023,$139.57,153128500,$141.06,$143.63,$139.32
08/03/2023,$128.91,91163740,$127.48,$129.84,$126.41
08/02/2023,$128.21,51027610,$130.154,$130.23,$126.82
08/01/2023,$131.69,42298930,$133.55,$133.69,$131.6199
07/31/2023,$133.68,41901520,$133.20,$133.87,$132.38
07/28/2023,$132.21,46317380,$129.69,$133.01,$129.33
07/27/2023,$128.25,52610660,$131.00,$132.63,$127.79
07/26/2023,$128.15,53910090,$126.51,$129.08,$126.11
07/25/2023,$129.13,39236660,$129.31,$129.58,$128.53
07/24/2023,$128.80,45671540,$130.305,$131.66,$128.35
07/21/2023,$130.00,133307300,$131.34,$131.37,$128.415
07/20/2023,$129.96,59820580,$134.07,$134.7915,$129.33
07/19/2023,$135.36,54531040,$133.39,$135.99,$132.53
07/18/2023,$132.83,54969130,$132.71,$133.86,$131.355
07/17/2023,$133.56,48450200,$134.56,$135.62,$133.21
07/14/2023,$134.68,54487090,$134.06,$136.65,$134.06
07/13/2023,$134.30,61170880,$134.04,$134.67,$132.71
07/12/2023,$130.80,54022850,$130.31,$131.26,$128.83
07/11/2023,$128.78,49951460,$127.75,$129.77,$127.35
07/10/2023,$127.13,61889290,$129.07,$129.28,$125.915
07/07/2023,$129.78,41992250,$128.59,$130.97,$128.1294
07/06/2023,$128.36,40697850,$128.25,$128.73,$127.37
07/05/2023,$130.38,35895410,$130.24,$131.40,$129.64
07/03/2023,$130.22,27939570,$130.82,$131.85,$130.065
06/30/2023,$130.36,54350680,$129.47,$131.245,$128.95
06/29/2023,$127.90,40760960,$128.77,$129.26,$127.255
06/28/2023,$129.04,52149510,$128.94,$131.48,$128.44
06/27/2023,$129.18,46801010,$128.63,$130.085,$127.55
06/26/2023,$127.33,59989320,$129.33,$131.49,$127.10
06/23/2023,$129.33,71927780,$129.11,$130.84,$128.28
06/22/2023,$130.15,90354570,$125.31,$130.33,$125.14
06/21/2023,$124.83,52137670,$125.64,$126.73,$123.85
06/20/2023,$125.78,56930120,$124.97,$127.25,$124.50
06/16/2023,$125.49,84247100,$127.71,$127.90,$125.30
06/15/2023,$127.11,60458470,$125.21,$127.69,$124.32
06/14/2023,$126.42,52422460,$126.70,$126.95,$124.12
06/13/2023,$126.66,50564790,$128.12,$128.41,$125.18
06/12/2023,$126.57,51473380,$124.02,$126.78,$123.53
06/09/2023,$123.43,51396020,$124.08,$125.80,$123.19
06/08/2023,$124.25,62159270,$123.01,$125.625,$122.2579
06/07/2023,$121.23,95663280,$127.01,$127.365,$120.63
06/06/2023,$126.61,45695210,$125.07,$127.40,$125.00
06/05/2023,$125.30,47950130,$123.36,$125.80,$123.03
06/02/2023,$124.25,61264410,$124.92,$126.39,$124.015
06/01/2023,$122.77,54375130,$120.69,$123.49,$119.93
05/31/2023,$120.58,72800790,$121.45,$122.04,$119.17
05/30/2023,$121.66,64314810,$122.37,$122.92,$119.855
05/26/2023,$120.11,96779890,$116.04,$121.50,$116.02
05/25/2023,$115.00,66496680,$116.63,$116.87,$114.31
05/24/2023,$116.75,63487940,$115.35,$117.34,$115.02
05/23/2023,$114.99,67576260,$114.27,$117.14,$113.78
05/22/2023,$115.01,70741120,$116.77,$116.77,$114.25
05/19/2023,$116.25,55056310,$118.16,$118.31,$115.70
05/18/2023,$118.15,73174090,$116.69,$118.60,$116.335
05/17/2023,$115.50,65655180,$114.89,$115.83,$114.22
05/16/2023,$113.40,71472910,$111.05,$114.7899,$111.05
05/15/2023,$111.20,53011150,$111.15,$112.29,$109.25
05/12/2023,$110.26,49852670,$112.16,$112.64,$109.3185
05/11/2023,$112.18,74924840,$111.03,$113.28,$110.49
05/10/2023,$110.19,78627620,$108.10,$110.67,$108.05
05/09/2023,$106.62,44089360,$105.48,$106.79,$105.1567
05/08/2023,$105.83,49430910,$105.04,$106.095,$104.7001
05/05/2023,$105.655,56951740,$104.27,$105.76,$103.55
05/04/2023,$104.00,45345520,$104.04,$105.39,$103.3117
05/03/2023,$103.65,65051930,$103.735,$105.96,$103.28
05/02/2023,$103.63,73469350,$101.47,$103.90,$101.15
05/01/2023,$102.05,74728100,$104.95,$105.23,$101.82
04/28/2023,$105.45,130715900,$107.73,$109.48,$104.33
04/27/2023,$109.82,149961200,$108.16,$110.86,$106.80
04/26/2023,$104.98,73803790,$105.04,$106.62,$104.10
04/25/2023,$102.57,65026820,$104.91,$105.45,$102.45
04/24/2023,$106.21,69575610,$107.655,$109.23,$105.07
04/21/2023,$106.96,86774190,$106.10,$108.15,$105.08
04/20/2023,$103.81,57696870,$103.53,$105.25,$103.21
04/19/2023,$104.30,58398890,$101.58,$105.12,$101.39
04/18/2023,$102.30,39790520,$103.95,$104.20,$101.52
04/17/2023,$102.74,39919460,$103.16,$103.73,$101.59
04/14/2023,$102.51,51450520,$102.07,$103.2013,$101.11
04/13/2023,$102.40,67925140,$98.95,$102.57,$98.71
04/12/2023,$97.83,56735010,$100.40,$100.51,$97.705
04/11/2023,$99.92,60417850,$100.80,$101.00,$99.01
04/10/2023,$102.17,37261190,$100.96,$102.20,$99.57
04/06/2023,$102.06,43808020,$100.75,$102.3817,$99.8008
04/05/2023,$101.10,45175390,$103.91,$103.91,$100.7506
04/04/2023,$103.95,48662500,$102.75,$104.20,$102.11
04/03/2023,$102.41,41135730,$102.30,$103.29,$101.43
03/31/2023,$103.29,56750320,$102.16,$103.49,$101.95
